Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class,Demand Headroom (MVA),lat,long
9780-2,North Tees T3 T4,11.0,30.0,36,18.59,GREEN,Primary,17.41,54.588954,-1.265692
9785-66-11,Bowesfield 66/11kV,11.0,32.0,32,14.21,GREEN,Primary,17.79,54.552028,-1.318381
9927-6,Darlington 132/6kV,6.0,30.0,12,3.536,GREEN,BSP,8.464,54.527631,-1.546713
9866-2,Whitby T2,11.0,24.0,19.1,5.75,GREEN,Primary,13.350000000000001,54.477858,-0.612329
9867-2,Whitby West T2,11.0,24.0,24,5.77,GREEN,Primary,18.23,54.4801,-0.635154
9882-1,Richmond T1,11.0,24.0,24,10.563,RED,Primary,13.437,54.411318,-1.720981
9810-11,Potter House T4 T5,11.0,30.0,30,6.316,GREEN,Primary,23.684,54.799531,-1.590776
9725-5,Sunderland T5 T6,11.0,30.0,30,0.0,GREEN,Primary,30.0,54.91139,-1.394004
7344629,Skeeby,33.0,90.0,90,115.779,RED,BSP,-25.778999999999996,54.412965,-1.702096
3337559,Kielder,20.0,4.0,4,0.0,GREEN,Primary,4.0,55.175595,-2.462102
4038610,Orgreave,11.0,23.0,23,9.364,GREEN,Primary,13.636,53.37744,-1.372435
4038573,Revill Lane,11.0,23.0,23,7.216,GREEN,Primary,15.783999999999999,53.359224,-1.368348
4038565,Shirland Lane,11.0,24.0,24,9.582,GREEN,Primary,14.418,53.390611,-1.423419
4038562,Stoke Street,11.0,24.0,24,13.009,GREEN,Primary,10.991,53.390935,-1.43954
4038575,Barnsley,11.0,18.75,21.5,14.245,GREEN,Primary,7.255000000000001,53.554346,-1.47607
4038788,Barugh 66/11kV,11.0,30.0,30,18.9,GREEN,Primary,11.100000000000001,53.572858,-1.518746
4038792-1,Elmhirst Lane 1,11.0,24.0,24,12.584,GREEN,Primary,11.416,53.547075,-1.538091
4038531,Scissett,11.0,18.75,23,16.557,GREEN,Primary,6.443000000000001,53.58919,-1.621963
4038576,Smithy Green,11.0,7.5,7.5,7.027,AMBER,Primary,0.47299999999999986,53.573421,-1.474239
4038574,Woolley,11.0,18.75,23,9.196,GREEN,Primary,13.804,53.596771,-1.53094
4038661-1,Beeston Royds 33/11kV,11.0,18.75,23,5.928,GREEN,Primary,17.072,53.7765,-1.583929
4038654,Gildersome,11.0,23.0,23,15.978,GREEN,Primary,7.022,53.750508,-1.635209
4038665,Hedley Chase,11.0,23.0,23,7.18,GREEN,Primary,15.82,53.795637,-1.571345
4038668,Middleton Town Street,11.0,18.75,23,22.453,RED,Primary,0.5470000000000006,53.751362,-1.545469
4038658,Morley,11.0,18.75,23,12.484,GREEN,Primary,10.516,53.74347,-1.604919
4038664,Tingley,11.0,24.0,24,14.184,GREEN,Primary,9.816,53.731758,-1.573819
4038629,Whitehall Road 4/5,11.0,18.75,19,7.727,GREEN,Primary,11.273,53.794921,-1.553072
4038707,Endike Lane,11.0,23.0,23,11.614,GREEN,Primary,11.386,53.779779,-0.389647
4038711,First Avenue,11.0,24.0,24,18.417,GREEN,Primary,5.582999999999998,53.781337,-0.359359
4038821,Holme Upon Spalding Moor,11.0,24.0,8,6.56,RED,Primary,1.4400000000000004,53.801546,-0.79618
4038701,Norwood,11.0,23.0,23,13.746,GREEN,Primary,9.254,53.850654,-0.424421
4038767,Southgate,11.0,23.0,8,5.466,AMBER,Primary,2.534,53.861861,-0.661182
4038702,Southwood Road,11.0,23.0,23,15.474,GREEN,Primary,7.526,53.77652,-0.425596
4038703,Spark Mill Lane,11.0,23.0,23,15.294,GREEN,Primary,7.7059999999999995,53.836976,-0.417123
4038502,Airedale Road,11.0,18.75,23,10.258,GREEN,Primary,12.742,53.870319,-1.888658
4038796,Bingley 33/11kV,11.0,24.0,23.8,14.838,GREEN,Primary,8.962000000000002,53.852924,-1.840945
4038503,Harden,11.0,23.0,8,4.256,GREEN,Primary,3.7439999999999998,53.833846,-1.86754
4038497-1,Haworth 1,11.0,30.0,30,9.076,GREEN,Primary,20.924,53.838237,-1.938934
4038505,Nabwood,11.0,23.0,23,12.41,GREEN,Primary,10.59,53.833687,-1.811705
4038499,South Street,11.0,23.0,23,9.932,GREEN,Primary,13.068,53.858292,-1.913295
4038570,Blackburn Meadows 33/11kV,11.0,24.0,24,14.28,GREEN,Primary,9.72,53.418771,-1.406461
4038607,BOC Brinsworth,11.0,18.75,23,5.137,GREEN,Primary,17.863,53.411115,-1.386612
4038609,Templeborough 33/11kV,11.0,18.75,23,12.317,GREEN,Primary,10.683,53.417711,-1.381562
4038569,Tinsley Wire Industries,11.0,24.0,24,5.209,GREEN,Primary,18.791,53.408087,-1.407108
4038776,Corringham Road,11.0,23.0,23,14.038,GREEN,Primary,8.962,53.405385,-0.757541
4038601,Epworth,11.0,24.0,10,7.656,GREEN,Primary,2.3440000000000003,53.528575,-0.828988
4038778,Harpswell,11.0,24.0,8,7.82,AMBER,Primary,0.17999999999999972,53.401036,-0.608487
4038605,Haxey,11.0,12.0,8,5.34,GREEN,Primary,2.66,53.485463,-0.812928
4038775,Lea Road,11.0,23.0,15.8,10.46,GREEN,Primary,5.34,53.390686,-0.774264
4038783,Normanby,11.0,12.0,8,5.89,AMBER,Primary,2.1100000000000003,53.381147,-0.457713
4038777,Stow,11.0,24.0,6.5,5.347,AMBER,Primary,1.1529999999999996,53.322549,-0.694592
4038470,Balme Street,11.0,24.0,24,14.776,GREEN,Primary,9.224,53.797373,-1.748445
4038463,Gaisby Lane,11.0,18.75,23,14.241,GREEN,Primary,8.759,53.819855,-1.763681
4038471,Idle,11.0,18.75,23,14.721,GREEN,Primary,8.279,53.825866,-1.734328
4038477,Killinghall Road,11.0,24.0,7.5,0.661,GREEN,Primary,6.839,53.796645,-1.719036
4038468,Manchester Road,11.0,23.0,23,8.89,GREEN,Primary,14.11,53.789175,-1.755086
4038473,Moorside Road,11.0,18.75,23,12.373,GREEN,Primary,10.627,53.814331,-1.722407
4038472,Mount Street,11.0,18.75,23,22.71,AMBER,Primary,0.28999999999999915,53.788362,-1.729183
4038462,Shipley,11.0,24.0,23,10.615,GREEN,Primary,12.385,53.838,-1.766321
4038648,Audby Lane,11.0,23.0,23,17.792,GREEN,Primary,5.207999999999998,53.93307,-1.378944
4038635,Dunkeswick,11.0,12.0,8,6.929,AMBER,Primary,1.0709999999999997,53.918584,-1.533728
4038694,Fenton Lane,11.0,23.0,23,7.355,GREEN,Primary,15.645,53.803659,-1.228655
4038647,Leeds Road,11.0,24.0,8,5.616,GREEN,Primary,2.3840000000000003,53.902627,-1.424049
4038814,Sherburn,11.0,25.0,25,14.488,AMBER,Primary,10.512,53.792685,-1.220257
4038650,Tadcaster,11.0,23.0,23,13.469,GREEN,Primary,9.531,53.877581,-1.264946
4038649,Warren Lane,11.0,23.0,8,4.498,GREEN,Primary,3.502,53.871377,-1.324619
4038720,Holderness,11.0,18.75,23,12.115,GREEN,Primary,10.885,53.773915,-0.26611
4038718,Saltshouse Road,11.0,18.75,23,11.594,GREEN,Primary,11.406,53.778512,-0.294435
4038715,Tiverton Road,11.0,23.0,23,14.005,GREEN,Primary,8.995,53.78949,-0.329914
