Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class
4038605,Haxey,11,12,8,5.34,GREEN,Primary
4038775,Lea Road,11,23,15.8,10.46,GREEN,Primary
4038783,Normanby,11,12,8,5.89,AMBER,Primary
4038777,Stow,11,24,6.5,5.347,AMBER,Primary
4038470,Balme Street,11,24,24,14.776,GREEN,Primary
4038463,Gaisby Lane,11,18.75,23,14.241,GREEN,Primary
4038471,Idle,11,18.75,23,14.721,GREEN,Primary
4038477,Killinghall Road,11,24,7.5,0.661,GREEN,Primary
4038468,Manchester Road,11,23,23,8.89,GREEN,Primary
4038473,Moorside Road,11,18.75,23,12.373,GREEN,Primary
4038472,Mount Street,11,18.75,23,22.71,AMBER,Primary
4038462,Shipley,11,24,23,10.615,GREEN,Primary
4038648,Audby Lane,11,23,23,17.792,GREEN,Primary
4038635,Dunkeswick,11,12,8,6.929,AMBER,Primary
4038694,Fenton Lane,11,23,23,7.355,GREEN,Primary
4038647,Leeds Road,11,24,8,5.616,GREEN,Primary
4038814,Sherburn,11,25,25,14.488,AMBER,Primary
4038650,Tadcaster,11,23,23,13.469,GREEN,Primary
4038649,Warren Lane,11,23,8,4.498,GREEN,Primary
4038720,Holderness,11,18.75,23,12.115,GREEN,Primary
4038718,Saltshouse Road,11,18.75,23,11.594,GREEN,Primary
4038715,Tiverton Road,11,23,23,14.005,GREEN,Primary
4038714,Wawne Road,11,24,24,8.574,GREEN,Primary
4038523,Bailiff Bridge,11,24,24,7.999,GREEN,Primary
4038525,Brighouse 33/11kV,11,12,12,10.984,AMBER,Primary
4038528,Deighton,11,18.75,23,19.47,GREEN,Primary
4038787,Lowfields,11,24,19,5.017,GREEN,Primary
4038795,Millroyd Street,11,12.5,15.3,11.557,GREEN,Primary
4038474,Snelsins Lane,11,18.75,23,11.123,GREEN,Primary
4038480,Spenborough,11,30,30,12.986,GREEN,Primary
4038757,Drax Primary,11,7.5,8,7.97,AMBER,Primary
4038602,Crowle,11,7.5,6.5,5.05,RED,Primary
4038761,Goole,11,18.75,23,16.289,GREEN,Primary
4038828,Guardian Glass,11,30,30,3.973,GREEN,Primary
4038759,Rawcliffe,11,18.75,8,4.281,GREEN,Primary
4038877,Cornwall Street,11,30,39,16.958,GREEN,BSP
4038598,Armthorpe,11,18.75,12,11.006,AMBER,Primary
4038696,Askern,11,23,23,9.376,GREEN,Primary
4038623,Austerfield,11,12.5,8,4.581,GREEN,Primary
4038591,Balby,11,18.75,22.86,11.615,GREEN,Primary
4038586,Barnburgh,11,24,24,9.531,GREEN,Primary
4038587,Brodsworth,11,18.75,23,14.328,GREEN,Primary
4038585,Hickleton,11,18.75,23,6.139,GREEN,Primary
4038593,ICI Fibres,11,18.75,23,10.263,GREEN,Primary
4038596,Kirk Sandall,11,24,24,11.518,GREEN,Primary
4038597,Markham Gates,11,18.75,23,15.84,GREEN,Primary
4038595,Rockware,11,18.75,23,19.38,GREEN,Primary
4038599,Stainforth,11,18.75,23,7.203,GREEN,Primary
4038600,Thorne,11,18.75,23,16.61,GREEN,Primary
4038604,West End Lane,11,18.75,23,11.777,GREEN,Primary
4038801,West Moor Park,11,24,25,17.745,GREEN,Primary
4038594,Wheatley Park,11,18.75,23,8.775,GREEN,Primary
4038589,Belmont Avenue,11,23,23,18.355,GREEN,Primary
4038588,Bentley,11,24,24,11.901,GREEN,Primary
4038590,Greyfriars Rd,11,23,24,9.716,GREEN,Primary
7256105,Greyfriars Road 3/4,11,30,30,8.433,GREEN,Primary
4038592,Jarratt Street,11,23,23,20.05,AMBER,Primary
4038763,Belthorpe Lane,11,24,8,4.547,GREEN,Primary
4038723,Brett Street,11,24,24,19.052,GREEN,Primary
4038725,Burton Pidsea,11,24,9,4.818,GREEN,Primary
4038700,Butterwick,11,15,6.5,5.08,AMBER,Primary
4038790,Driffield,11,24,24,16.803,GREEN,Primary
4038822,Hayton,11,12.5,15.3,13.25,GREEN,Primary
4038713,Hunmanby,11,24,24,8.433,GREEN,Primary
4038699,Kirkburn,11,30,8,6.7,AMBER,Primary
4038724,Martongate,11,12.5,15.3,12.958,GREEN,Primary
4038760,Sandhill Lane,11,10,8,5.05,GREEN,Primary
4038826,Seaton,11,20,20,16.962,GREEN,Primary
4038683,Commonside Lane,11,24,24,16.675,GREEN,Primary
4038680,Normanton,11,23,23,17.512,GREEN,Primary
4038690,Prince of Wales,11,23,23,10.763,GREEN,Primary
4038681,Sharlston,11,23,23,11.366,GREEN,Primary
4038685,Wellington Street,11,23,23,16.766,GREEN,Primary
4038461,Crown Street,11,23,8,4.788,GREEN,Primary
4038456,Four Lane Ends,11,23,23,14.317,GREEN,Primary
4038458,Legrams Mill Lane,11,18.75,23,9.916,GREEN,Primary
4038467,Rawson Road,11,23,23,10.994,GREEN,Primary
4038459,Saint Street,11,23,23,6.48,GREEN,Primary
4038457,Toller Lane,11,18.75,23,10.759,GREEN,Primary
