OUTCODE,ONS
OX14,E07000180
TN7,E07000065
MK6,E06000042
IG5,E09000026
RH6,E07000226
CF32,W06000013
CF11,W06000015
SN6,E06000054
MK40,E06000055
YO23,E07000169
BT16,N09000007
E4,E09000031
TN12,E07000115
WF17,E08000034
B31,E08000025
N22,E09000014
KT4,E09000029
SR3,E08000024
GL12,E07000082
BS10,E06000023
TN32,E07000064
G68,S12000050
W8,E09000020
OL3,E08000004
CW3,E06000049
BT61,N09000002
BT33,N09000010
NE62,E06000057
BH9,E06000058
BD17,E08000032
GU32,E07000085
SA15,W06000010
DL8,E07000166
GU30,E07000085
L40,E07000127
SG7,E07000099
NE12,E08000022
B45,E08000025
SS14,E07000066
CH7,W06000005
NE10,E08000037
PE22,E07000137
BS48,E06000024
DN9,E06000013
RG41,E06000041
CM11,E07000066
NP12,W06000018
PO6,E06000044
SE4,E09000023
SN16,E06000054
HA0,E09000005
WF14,E08000034
LS2,E08000035
CV13,E07000132
CF63,W06000014
CV11,E07000219
BT1,N09000003
HD5,E08000034
KA5,S12000008
NP7,W06000021
TA2,E07000246
YO41,E06000011
WF4,E08000036
M4,E08000003
CW5,E06000049
FY1,E06000009
PE7,E07000010
DD5,S12000042
LA6,E07000031
PA1,S12000038
M35,E08000004
EH4,S12000036
SM5,E09000029
CB24,E07000012
E1W,E09000030
BH1,E06000058
TS10,E06000003
WN5,E08000010
DE4,E07000035
RG10,E06000041
EH21,S12000010
CW11,E06000049
BT49,N09000004
LL41,W06000002
KT9,E09000021
YO16,E06000011
DT3,E06000059
EH11,S12000036
WA5,E06000007
OL10,E08000005
WF2,E08000036
TN31,E07000064
PL6,E06000026
DE22,E06000015
SG6,E07000099
BD6,E08000032
SL2,E06000039
CV37,E07000221
KY16,S12000047
TN34,E07000062
CH66,E06000050
S63,E08000016
OL4,E08000004
G74,S12000029
RG22,E07000084
KW1,S12000017
WA8,E06000006
CW7,E06000050
LL11,W06000006
HP14,E06000060
S43,E07000034
TA1,E07000246
IP13,E07000203
G76,S12000011
B23,E08000025
WS15,E07000194
LN11,E07000137
SN3,E06000030
G69,S12000050
SS12,E07000066
SS15,E07000066
IP26,E07000146
DD11,S12000041
SW14,E09000027
CV35,E07000221
HR1,E06000019
BT74,N09000006
KA19,S12000028
CF33,W06000013
B76,E08000025
SK8,E08000007
M40,E08000003
YO32,E06000014
S2,E08000019
EH55,S12000040
TR26,E06000052
DL7,E07000164
M34,E08000008
RG28,E07000084
EH26,S12000019
KY2,S12000047
NN14,E06000061
TR14,E06000052
ME20,E07000115
TR19,E06000052
ST14,E07000193
GL20,E07000083
SS9,E06000033
DN41,E07000142
WD3,E07000102
W1B,E09000033
SY24,W06000008
LE3,E06000016
TW17,E07000213
SO16,E06000045
NG24,E07000175
CR6,E07000215
HA4,E09000017
RG12,E06000036
AB37,S12000020
SR7,E06000047
BT12,N09000003
EC3A,E09000001
DN15,E06000013
LL22,W06000003
MK44,E06000055
TF2,E06000020
WS1,E08000030
HX5,E08000033
PL13,E06000052
CV32,E07000222
TD1,S12000026
LE18,E07000135
DG10,S12000006
DT7,E06000059
TR1,E06000052
MK8,E06000042
PL1,E06000026
IV27,S12000017
BN21,E07000061
TN8,E07000111
DN7,E08000017
IP15,E07000244
BS30,E06000025
SA68,W06000009
BL3,E08000001
G66,S12000045
CB8,E07000245
PA16,S12000018
WS12,E07000192
DG1,S12000006
TS6,E06000003
SG17,E06000056
LL48,W06000002
LN12,E07000137
CF62,W06000014
SP3,E06000054
BH14,E06000058
SE5,E09000028
DE13,E07000193
PA37,S12000035
IV12,S12000017
LS7,E08000035
FY7,E07000128
BD9,E08000032
WD24,E07000103
RM16,E06000034
DD6,S12000047
G78,S12000011
CT19,E07000112
PO34,E06000046
DN20,E06000013
S20,E08000019
SP1,E06000054
ST15,E07000197
WA11,E08000013
NE9,E08000037
HP9,E06000060
B34,E08000025
LA8,E07000031
BA14,E06000054
GL15,E07000080
NN12,E06000062
NG14,E07000173
DG14,S12000006
LL20,W06000004
WV10,E07000196
