ONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000052,TR11,TR4,TR2,PL30,PL12,TR12,TR18,PL15,PL17,PL14,PL25,TR20,PL28,TR26,TR14,TR19,PL13,TR1,TR9,TR3,PL27,TR15,PL23,TR13,PL24,TR10,PL31,TR8,TR16,EX23,PL11,PL18,PL34,TR6,TR27,TR7,PL26,TR5,PL35,PL22,PL10,TR17,PL32,PL33,PL29
E07000063,BN8,BN25,RH16,BN7,BN6,BN10,BN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000223,BN43,BN15,BN42,BN95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000118,PR6,PR7,PR26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000012,L3,L18,L25,L9,L5,L19,L6,L7,L1,L8,L24,L12,L4,L13,L11,L17,L69,L27,L70,L15,L2,L74,L71,L67,,,,,,,,,,,,,,,,,,,,,
E07000228,RH17,RH19,RH15,BN45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000028,SE17,SE15,SE22,SE1P,SE16,SE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000234,B60,DY9,B38,B47,B48,B61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000246,TA3,TA4,TA24,TA2,TA1,TA21,TA23,TA22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000208,KT19,KT18,KT17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000179,OX10,OX11,OX39,RG9,OX33,OX44,RG4,OX49,OX9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000055,MK42,MK40,MK44,MK43,MK41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000244,IP18,NR33,IP5,IP12,NR32,IP11,IP17,IP15,IP19,IP16,IP10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000119,FY8,FY4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000122,BB12,BB18,BB9,BB8,BB94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000110,ME14,ME15,ME5,ME7,ME16,ME17,ME99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000093,SP11,SP10,SO51,SO20,SO52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000059,BH19,DT4,DT6,DT11,BH21,DT1,DT5,DT9,DT8,DT2,DT10,DT3,DT7,BH31,SP8,BH20,BH16,BH22,SP7,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000021,NE6,NE2,NE5,NE15,NE3,NE7,NE13,NE1,NE4,NE99,NE98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000083,WR11,GL20,GL19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000033,W2,W1U,W1F,W1G,SW7,W1D,W1S,W1B,W1J,W1K,WC2R,W1H,SW1H,W1W,W9,NW8,SW1E,W1C,SW1Y,WC2N,WC2E,,,,,,,,,,,,,,,,,,,,,,,,
W06000022,NP19,NP20,NP18,NP10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000085,GU35,GU34,GU32,GU30,GU31,GU33,SO24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000167,YO17,YO18,YO60,YO62,YO12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000078,GL52,GL53,GL50,GL51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000120,BB5,BB6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000041,RG40,RG45,RG41,RG10,RG5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000075,SS5,SS4,SS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000037,SK17,SK13,SK22,SK23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000011,SE18,SE8,SE7,SE28,SE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000030,SN25,SN2,SN3,SN5,SN26,SN1,SN38,SN99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000243,SG2,SG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000035,ME8,ME4,ME1,ME2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000236,B97,B98,B96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000117,BB11,BB10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000057,DH8,NE66,TD15,NE24,NE61,NE42,NE65,NE46,NE62,NE22,NE47,NE64,NE20,NE18,NE19,NE45,NE67,NE71,NE69,NE48,NE49,NE43,NE63,NE44,NE70,NE68,TD12,,,,,,,,,,,,,,,,,,
E07000106,CT3,CT5,CT6,CT1,CT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000113,ME13,ME10,ME12,ME9,ME11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000039,DE11,DE65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000211,RH2,KT20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000005,M24,OL16,OL12,OL11,OL10,OL15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000031,E10,E11,E17,E4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000036,WF1,WF8,WF6,WF5,WF10,WF4,WF2,WF9,WF7,WF90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000023,BS16,BS3,BS9,BS1,BS15,BS7,BS4,BS11,BS5,BS6,BS10,BS13,BS14,BS2,BS99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000045,SO18,SO14,SO19,SO16,SO15,SO17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000058,BH15,BH4,BH23,BH5,BH12,BH8,BH10,BH18,BH9,BH1,BH14,BH6,BH11,BH7,BH17,BH13,BH2,BH3,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000010,PE15,PE16,PE13,PE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000019,S36,S8,S6,S3,S13,S2,S20,S14,S17,S7,S4,S12,S10,S1,S5,S98,S99,S9,S11,S96,S95,,,,,,,,,,,,,,,,,,,,,,,,
E06000050,CH64,WA6,CW9,CH2,CH4,CH3,CW6,CH66,CW7,CW8,CH65,CH1,CH34,CH99,CH33,CH70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W06000013,CF34,CF31,CF36,CF32,CF33,CF35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000180,OX12,SN7,OX13,OX2,OX14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000022,BS31,BS40,BA1,BS39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000006,WA7,WA8,WA88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000116,TN18,TN4,TN2,TN1,TN17,TN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000239,DY10,DY11,DY12,WV98,DY14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000072,CM16,EN9,IG10,CM5,RM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000028,DY4,B69,B67,B70,B66,B65,B43,WS5,B68,WS10,B71,B64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000025,B14,B29,B33,B2,B20,B25,B28,B18,B10,B26,B21,B1,B11,B31,B45,B23,B76,B34,B72,B13,B32,B16,B99,B74,B75,B17,B6,B30,B15,B3,B4,B44,B8,B42,B5,B24,B12,B7,B9,B19,B73,B27,B35,,
E07000102,WD5,WD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000022,NE23,NE30,NE28,NE12,NE29,NE26,NE27,NE25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000035,LS11,LS18,LS8,LS12,LS17,LS21,LS6,LS13,LS15,LS27,LS14,LS26,LS2,LS7,LS28,WF3,LS23,LS19,LS22,LS10,LS20,LS16,LS99,LS5,LS1,LS4,LS9,LS3,LS98,LS88,,,,,,,,,,,,,,,
E06000062,NN11,NN7,MK19,NN5,NN3,NN12,NN4,NN13,NN6,NN2,NN1,OX17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000051,SY7,WV16,SY6,SY13,SY5,SY2,SY10,SY4,TF9,SY1,WV15,SY8,SY3,TF13,SY12,SY11,TF12,TF11,SY9,WV7,SY99,,,,,,,,,,,,,,,,,,,,,,,,
