postcode,epc,hpr
RG7 5AY,60.9,0.79
RG14 5JA,65.4,0.9
RG8 8RT,41.0,0.8
RG7 2AG,45.0,0.86
RG7 3PD,67.5,0.98
RG18 3FU,63.0,0.79
RG20 8QZ,62.3,0.98
RG31 4RG,61.4,0.91
RG7 3RL,58.4,0.85
RG18 9RQ,42.1,0.8
OX12 9NL,47.6,0.77
RG19 4QG,62.8,0.84
RG7 3QQ,62.6,0.87
RG19 3RJ,68.9,0.94
RG7 5DN,60.6,0.85
RG7 5TZ,60.4,0.95
RG14 7NX,52.6,0.7
RG31 6GF,64.4,0.96
RG31 4QX,61.3,0.92
RG8 8RU,34.9,0.69
RG14 7PX,52.5,0.76
RG18 3BY,57.4,0.86
RG31 6UA,77.7,1.02
RG17 8PH,61.9,0.94
RG31 6FH,62.8,0.92
RG18 3PG,58.5,0.83
RG19 3TY,63.6,0.88
RG17 0HN,62.6,0.91
RG7 3NJ,63.5,0.97
RG18 3EF,61.2,0.85
RG17 0NA,59.2,0.66
RG19 3RW,72.0,0.98
RG31 6YQ,69.5,0.93
RG14 6EA,58.7,0.77
RG14 5PJ,73.4,0.99
RG18 9PQ,64.2,0.97
RG17 8QH,42.2,0.74
RG20 8XB,46.7,0.79
RG18 3DL,64.3,0.9
RG17 9QB,55.1,0.9
RG17 9TY,57.9,0.91
RG14 7WN,84.5,1.18
RG17 0JP,63.9,0.94
RG14 6DJ,78.1,1.07
RG14 2SH,71.5,0.98
RG14 1QL,61.0,0.76
RG14 7UF,68.7,0.96
RG17 9QD,58.2,0.95
RG7 5NX,36.8,0.8
RG31 4UR,56.8,0.72
RG14 6AD,70.8,1.04
RG31 4XQ,64.1,0.92
RG19 4AB,76.0,1.04
RG14 2BL,69.0,0.87
RG7 2AR,63.0,0.99
RG14 7XA,84.5,1.16
RG17 8XY,53.3,0.69
RG14 5QN,72.1,0.98
RG31 6YY,60.5,0.93
RG14 2HS,78.5,0.99
RG20 0JH,52.9,0.9
RG17 9XJ,60.6,0.89
RG19 4RY,74.6,1.02
RG14 5PR,54.1,0.78
RG31 7BX,83.5,1.12
RG18 3BT,58.4,0.87
RG19 3QZ,66.5,0.99
RG18 0UN,54.5,0.92
RG14 7RJ,61.9,0.81
RG14 1EX,67.2,0.96
RG31 4EU,61.6,0.91
RG17 0JF,62.9,0.88
RG14 7NP,56.6,0.63
RG14 6TB,68.6,0.85
RG19 8DQ,84.9,1.16
RG14 1HF,83.6,1.13
RG8 8JG,52.7,0.83
RG14 7HW,61.7,0.95
RG14 6NX,56.8,0.86
RG31 6TP,62.8,0.99
RG14 2SQ,64.6,0.99
RG7 3NH,65.1,0.99
RG14 7DE,64.0,0.91
RG14 7RY,65.0,0.96
RG20 7AW,37.7,0.77
RG14 1NH,70.2,0.92
RG14 5HP,73.3,1.05
RG14 5DQ,85.5,1.11
RG14 2EY,62.5,0.9
RG20 6RB,38.8,0.77
RG14 1GA,87.8,1.18
RG14 7PA,55.8,0.74
RG7 4TN,59.2,0.95
RG19 8EL,54.3,0.77
RG14 1QA,58.2,0.8
RG20 6QQ,61.4,0.99
RG14 7GX,84.6,1.04
RG31 6PA,55.9,0.84
RG17 0DH,55.0,0.77
RG18 9ES,54.0,0.87
RG18 4LG,70.6,0.96
RG18 9PT,58.7,0.84
RG17 7DD,51.7,0.86
RG14 5SP,57.9,0.66
RG19 8EY,72.5,1.04
RG14 7BD,74.3,0.98
RG19 8EA,31.7,0.72
RG19 3JY,67.2,0.99
RG14 5NX,65.9,0.91
RG7 4UU,64.7,1.01
RG19 3YU,64.3,0.96
RG7 3NN,62.5,0.96
RG14 6HQ,80.1,1.08
RG17 8PJ,63.0,0.89
RG18 9PJ,66.5,0.96
RG7 3LE,63.6,0.92
RG19 8XQ,76.3,1.05
RG7 2PD,57.7,0.87
RG17 7DQ,46.1,0.77
RG14 5TE,65.2,0.96
RG17 0JL,58.5,0.81
RG7 4LL,43.9,0.78
RG14 7TR,59.6,0.87
RG14 7GJ,84.6,1.05
RG20 8AY,70.0,1.04
RG14 6TJ,61.9,0.91
RG31 7DR,64.3,0.98
RG14 7XE,72.0,0.99
RG19 4RA,76.8,1.06
RG14 2FE,73.9,1.03
RG14 1XG,64.2,0.93
RG18 4DB,64.9,1.02
RG31 7ZU,72.0,0.95
RG14 1AS,52.7,0.83
RG19 3UN,60.5,0.91
RG14 2NN,55.1,0.85
RG31 4QR,66.4,0.96
RG17 8RG,55.9,0.89
RG17 7AF,48.3,0.59
RG8 9QH,64.8,0.81
RG17 7BD,40.6,0.74
RG14 2DR,34.0,0.61
RG17 7BT,55.2,0.96
RG14 1PG,68.5,0.92
RG19 3SE,58.5,0.81
RG8 7BP,56.3,0.96
RG20 8DR,46.6,0.73
RG20 6NJ,55.3,0.79
RG14 7PT,77.8,0.98
RG19 4YR,69.8,0.96
RG31 6FS,64.4,0.95
RG17 8LA,70.9,0.98
RG14 1GE,67.8,1.01
RG18 4AB,82.0,1.13
RG14 7LB,63.7,0.96
RG18 9XF,50.0,0.88
RG20 8QW,53.4,0.81
RG7 2BE,50.8,0.77
RG14 7QS,53.6,0.77
OX12 9NJ,46.6,0.77
RG17 0EF,56.8,0.72
RG18 9HZ,59.2,0.93
RG31 6NU,57.6,0.81
RG17 0JZ,61.3,0.93
RG8 9LA,60.9,0.88
