postcode,epc,hpr
LL22 7DB,59.0,0.88
LL16 5HT,47.6,0.84
LL30 1EP,69.2,0.98
LL22 7UQ,62.7,0.97
LL29 8AH,58.5,0.84
LL28 5ED,73.4,0.96
LL32 8ET,56.4,0.76
LL22 8FS,83.7,1.18
LL22 9NY,60.7,0.9
LL22 8HS,31.0,0.66
LL16 5HN,49.5,0.83
LL30 1TJ,69.2,1.0
LL22 8PE,21.0,0.64
LL22 8SQ,46.6,0.92
LL21 9TU,41.4,0.7
LL29 8TP,45.6,0.74
LL16 5HS,48.1,0.87
LL29 9LB,65.6,0.9
LL34 6RP,62.0,0.95
LL30 3FL,69.4,1.0
LL26 0ET,60.7,0.73
LL28 5LY,56.2,0.7
LL31 9FH,90.1,1.18
LL26 0SA,69.4,1.0
LL32 8BH,50.8,0.61
LL29 9BP,55.5,0.7
LL32 8HT,60.1,0.61
LL30 2LQ,61.8,0.74
LL30 2BJ,72.0,0.95
LL28 4EP,65.0,0.84
LL29 8EX,57.7,0.95
LL28 4NB,54.4,0.74
LL30 2AL,56.8,0.78
LL30 3RW,62.4,0.92
LL29 9NN,62.2,0.88
LL30 1BG,55.8,0.68
LL32 8TJ,50.2,0.69
LL33 0SB,54.0,0.51
LL32 8AR,88.7,1.17
LL22 8AR,40.0,0.7
LL29 7DR,64.6,0.94
LL28 5AE,56.1,0.85
LL30 2BQ,70.3,0.97
LL30 1JH,70.0,0.98
LL29 7UE,58.9,0.65
LL18 5EZ,66.1,0.96
LL28 5YR,50.7,0.82
LL28 5YL,57.0,0.86
LL33 0RP,65.1,0.91
LL30 1SR,49.9,0.72
LL22 7UF,64.7,0.95
LL28 5SY,53.9,0.77
LL31 9UD,62.0,0.84
LL18 5BY,61.2,0.95
LL30 2TJ,75.1,0.91
LL31 9GF,81.4,1.15
LL30 1UH,62.4,0.91
LL30 3HZ,63.1,1.0
LL30 3PH,56.7,0.78
LL28 4HU,51.1,0.69
LL27 0JJ,51.6,0.66
LL27 0NJ,46.2,0.69
LL28 4PS,52.6,0.65
LL29 9DE,57.7,0.89
LL22 8RR,32.5,0.67
LL30 1LD,67.6,0.94
LL18 5LW,70.4,1.0
LL29 9UB,53.5,0.67
LL30 3DH,55.8,0.63
LL30 2YY,59.1,0.76
LL30 2DH,65.8,0.93
LL30 1SJ,64.3,0.83
LL30 1NE,58.8,0.88
LL33 0NY,48.2,0.62
LL22 7LD,68.8,0.93
LL29 7YD,50.4,0.66
LL29 9AA,58.7,0.72
LL32 8RY,54.6,0.68
LL31 9HX,64.0,0.99
LL28 5BW,70.8,0.96
LL30 1UY,48.2,0.71
LL29 8PZ,72.7,0.96
LL31 9UT,53.4,0.73
LL30 1HU,65.9,0.94
LL30 1LE,73.4,0.92
LL29 8ET,49.0,0.63
LL24 0PP,24.8,0.55
LL28 4TA,57.4,0.88
LL18 5HP,65.8,0.92
LL30 3DY,58.5,0.87
LL31 9BY,57.5,0.66
LL31 9HS,55.3,0.88
LL30 2BU,63.3,0.95
LL33 0NU,63.4,0.75
LL29 7TW,54.3,0.66
LL30 2HT,48.0,0.64
LL22 7LR,59.1,0.93
LL30 1LX,55.1,0.69
LL30 3HL,54.2,0.8
LL26 0SN,71.7,1.05
LL18 5LP,70.4,0.97
LL26 0DN,72.2,0.91
LL30 1PF,59.6,0.86
LL30 3BF,75.8,1.05
LL29 8SR,46.5,0.86
LL29 9TW,56.5,0.73
LL32 8JQ,48.1,0.89
LL18 5JN,69.2,1.01
LL22 8BJ,55.2,0.86
LL22 9HD,62.0,0.82
LL26 0DS,58.5,0.67
LL29 8PQ,78.6,0.97
LL31 9RB,64.1,0.96
LL28 4HW,57.1,0.77
LL28 4RA,76.6,1.03
LL18 5BT,62.8,0.89
LL28 5LJ,64.6,1.01
LL29 8AJ,45.2,0.64
LL29 8RG,64.9,0.91
LL33 0PN,55.5,0.72
LL18 5LN,67.8,0.98
LL21 9SE,64.1,1.04
LL28 4EW,70.3,1.02
LL31 9EJ,53.3,0.67
LL29 9BD,64.6,0.97
LL30 1TD,47.5,0.73
LL22 8PP,38.0,0.74
LL22 8BB,5.0,0.41
LL31 9SN,36.0,0.71
LL22 7JF,74.4,1.07
LL31 9BB,60.6,0.87
LL28 4HL,47.1,0.69
LL22 9NS,61.3,0.93
LL28 4TS,61.3,0.95
LL30 3PD,54.5,0.91
LL29 7RD,40.6,0.47
LL28 4SG,57.6,0.81
LL30 2TT,49.9,0.65
LL22 7SQ,60.9,0.74
LL18 5FF,67.6,1.0
LL24 0BN,51.7,0.67
LL29 7HF,50.0,0.7
LL29 9EB,62.0,0.83
LL28 4RB,48.3,0.69
LL29 7ST,52.3,0.59
LL28 5TF,41.7,0.84
LL22 9PF,61.8,0.93
LL30 1LP,71.5,0.97
LL31 9YR,51.9,0.81
LL24 0TA,28.0,0.6
LL27 0SQ,57.2,0.92
LL31 9AD,59.3,0.65
LL30 2EW,70.4,0.99
LL29 6DN,61.9,0.94
LL29 8SU,43.0,0.85
LL33 0SY,50.1,0.76
LL22 9PJ,61.0,0.9
LL31 9TJ,65.5,0.92
LL31 9YQ,66.9,1.01
LL33 0UN,58.4,0.85
LL29 9PY,53.8,0.7
LL22 8SL,38.1,0.89
LL18 5FX,74.6,1.04
LL22 7AS,56.0,0.82
LL26 0TY,53.2,0.79
LL22 7DS,59.8,0.93
LL30 1UN,55.3,0.71
LL29 8ED,56.6,0.68
LL29 7UG,55.7,0.63
LL29 9BB,52.6,0.7
LL28 4PL,73.5,0.86
LL22 7EL,57.9,0.86
LL30 1DT,61.2,0.92
LL32 8RU,59.5,0.91
LL22 8LS,44.1,0.7
LL22 8QW,55.0,0.88
LL31 9LF,59.6,0.86
LL30 1LS,57.6,0.85
LL29 9DS,48.8,0.67
LL28 4EJ,49.0,0.66
LL28 5NW,38.0,0.71
LL22 7NN,67.0,1.01
LL30 1NA,55.5,0.84
LL21 9UE,58.6,0.94
LL22 7SH,54.7,0.67
LL28 4PQ,56.7,0.67
LL30 2NL,51.8,0.56
LL29 7PR,53.5,0.69
LL22 8LP,31.5,0.62
LL33 0SW,56.3,0.72
LL24 0PT,46.7,0.71
LL33 0TU,48.2,0.57
LL26 0DP,55.9,0.69
LL22 9YW,65.0,0.92
LL31 9FP,88.8,1.18
LL33 0DW,52.3,0.66
LL28 5YS,59.8,0.9
LL22 8SW,43.0,0.86
LL34 6HB,48.9,0.69
LL28 5DH,64.4,0.91
LL18 5JU,61.0,0.95
LL22 8JG,58.3,0.88
LL28 4RY,48.3,0.68
LL32 8HF,53.3,0.75
LL28 5EQ,62.6,0.96
LL29 9NE,56.8,0.66
LL22 8HD,56.9,0.84
LL25 0NQ,39.9,0.66
LL18 5FE,68.4,1.02
LL28 5EA,57.9,0.78
LL32 8GU,67.7,1.0
LL28 4SH,58.0,0.88
LL29 7UA,58.4,0.69
LL28 5SW,54.6,0.99
LL30 2YH,56.3,0.71
LL26 0BJ,61.7,0.99
LL26 0ER,73.4,1.0
LL30 3HB,57.1,0.89
LL22 7LU,59.2,0.89
LL29 8RA,63.7,0.95
LL26 0BH,61.0,0.88
LL28 4PF,51.7,0.73
LL28 4PX,58.2,0.93
LL31 9JS,55.0,0.75
LL29 8SP,37.5,0.61
LL30 3PP,56.7,0.74
LL26 0NF,59.3,0.84
LL31 9SA,66.0,0.85
LL28 5AL,64.5,0.89
LL33 0TP,62.0,0.84
LL22 7HB,51.2,0.67
LL33 0SA,66.8,0.77
LL30 2JF,73.4,0.96
LL30 2AE,48.8,0.71
LL30 2QR,46.3,0.58
LL18 5AU,64.0,0.82
LL26 0YH,33.3,0.49
LL30 1BU,74.6,0.98
LL29 9LQ,65.0,0.97
LL30 2RA,64.5,0.76
LL33 0AE,59.2,0.73
LL26 0HT,62.4,0.91
LL26 0AW,49.4,0.66
LL30 1PS,55.5,0.84
LL32 8AZ,46.7,0.86
LL34 6SF,35.0,0.78
LL29 7HT,62.6,0.58
LL29 7TH,53.7,0.78
LL18 5BW,60.0,0.91
LL33 0RJ,69.3,0.93
LL29 6DW,65.3,0.97
LL29 9HB,44.4,0.6
LL18 5EJ,62.8,0.96
LL22 7BE,57.3,0.64
LL29 8YH,71.7,0.99
LL28 5SU,56.4,0.66
LL30 1UG,57.5,0.9
LL26 0TE,74.3,1.08
LL29 7TR,61.1,0.84
LL18 5DP,59.4,0.87
LL30 2BT,44.9,0.69
LL29 9UE,61.9,0.78
LL22 7JG,64.5,0.98
LL24 0NT,41.8,0.81
LL30 2BZ,59.3,0.78
LL18 5EU,45.5,0.67
LL29 9NU,55.4,0.8
LL29 7LU,64.5,0.76
LL29 8SF,25.4,0.66
LL33 0TG,50.2,0.66
LL30 2HG,59.7,0.62
LL30 2LN,55.6,0.6
LL26 0BG,66.6,0.92
LL34 6HA,53.2,0.59
LL22 7PL,70.0,0.82
LL30 2TU,48.5,0.67
LL30 1PB,57.5,0.85
LL30 3FF,67.9,1.0
LL22 7AT,49.4,0.73
LL32 8WD,71.5,1.01
LL30 3NE,57.0,0.83
LL18 5FJ,67.2,1.0
LL30 2HB,54.6,0.59
LL30 1YY,54.0,0.65
LL34 6LN,47.3,0.64
